STD_ID,STD_NAME,SEX,PERCENTAGE,CLASS,SEC,STREAM,DOB
1001,SUREKHA JOSHI,FEMALE,82,12,A,SCIENCE,03-08-1998
1002,MAAHI AGARWAL,FEMALE,56,11,C,COMMERCE,11-23-2008
1003,SANAM VERMA,MALE,59,11,C,COMMERCE,06-29-2006
1004,RONIT KUMAR,MALE,63,11,C,SCIENCE,05-11-1997
1005,DIPESH PULKIT,MALE,78,11,B,COMMERCE,09-14-2009
1006,JAHANVI PURI,FEMALE,60,11,B,COMMERCE,11-07-2008
1007,SANAM KUMAR,MALE,23,12,F,COMMERCE,03-08-1998
1008,SAHIL SARAS,MALE,56,11,C,COMMERCE,11-07-2008
1009,AKSHARA AGARWAL,FEMALE,72,12,B,COMMERCE,01-10-1996
1010,STUTI MISHRA,FEMALE,39,11,F,SCIENCE,11-23-2008
1011,HARSH AGARWAL,MALE,42,11,C,SCIENCE,03-08-1998
1012,NIKUNJ AGARWAL,MALE,49,12,C,COMMERCE,06-23-1998
1013,AKRITI SAXENA,FEMALE,89,12,A,SCIENCE,11-23-2008
1014,TANI RASTOGI,FEMALE,82,12,A,SCIENCE,11-23-2008
